Title,action,spooks,real_monsters,hurt_children,hurt_animals,blood,badass,romance,funny,artism,parody,body,horror,inversion,atmospheric,paranormal,monsters,zombie
willy wonderland,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0
tigers are not afraid,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0
satanic panic,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0
little monsters,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1
underwater,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0
slaxx,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0
mon mon monsters,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1
mortuary collection,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0
psycho goreman,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0
host,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
mandy ,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0
annihilation,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
w lesie dzis nie zasnie nikt,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0
the wretched,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0
zabawa w pochowanego,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
noc oczyszczenia zegnaj ameryko,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
peninsula,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
no escape room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
brightburn,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
w lesie dzis nie zasnie nikt 2,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0
halloween kills,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
malignant,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
resident evil remake,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
krampus,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
blackbox,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cube,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
cube 2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
cube 3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
haunt,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
antlers,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1
terrified,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0
the lamb,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0
escape room aka followe me,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0
gonijam haunted asylum,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
get out,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0
grudge,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
us,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
mom and dad,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
sea fever,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
47 meters,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
obecnosc 3 ,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
scary stories to tell in the dark,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
pet sementary,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1
happy death day,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
happy death day 2u,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0
birdemic 2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
babadook,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
grotesque,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
The Whole Truth,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
Killer Sofa,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Riaru Onigokko (TAG),1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
boy behind the door,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
cleansing hour,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0
terrified (rewatch),0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0
pay the ghost,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
prisoners of the ghost land,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
wickerman,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
robert 1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
robert 5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
choose or die,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0
zombie striptizerki,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1
im a hero,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1
dead sushi,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1
shaun of the dead,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1
cube (japanese),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
scanners,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Rytuał ,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Blair witch (2016),0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
vvitch,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0
Poltergeist,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Scare me,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0
Caveat,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
